LST,Latitude,Longitude,height,LST_Difference,height_Difference
-11.96999999999997,52.47844224427048,13.31831250946156,83.37509155273438,-21.225669749579122,-127.20724487304688
-12.369999999999948,52.47911699361518,13.318211045832111,86.03009033203125,-21.6256697495791,-124.55224609375
-13.029999999999973,52.47979565544443,13.318104324565946,86.46343994140625,-22.285669749579124,-124.118896484375
-13.949999999999989,52.480464826278165,13.318010501186953,92.3649673461914,-23.20566974957914,-118.21736907958984
-14.049999999999955,52.481123241738715,13.317897591554791,88.22964477539062,-23.305669749579106,-122.35269165039062
-14.549999999999955,52.4817711613662,13.317798930038633,90.13345336914062,-23.805669749579106,-120.44888305664062
-15.869999999999948,52.482489209387076,13.31767284309174,84.34566497802734,-25.1256697495791,-126.2366714477539
-16.489999999999952,52.48314710177218,13.317560830022883,80.60970306396484,-25.745669749579104,-129.97262573242188
-17.129999999999995,52.48383547330496,13.317441341443269,75.67584228515625,-26.385669749579147,-134.906494140625
-19.329999999999984,52.48449874338177,13.317355730859155,85.08489990234375,-28.585669749579136,-125.4974365234375
-20.029999999999973,52.4851790418979,13.317247222568897,84.80953216552734,-29.285669749579124,-125.7728042602539
-19.349999999999966,52.48586076942998,13.317136847429017,83.75054931640625,-28.605669749579118,-126.831787109375
-20.92999999999998,52.48654315624102,13.317025644195823,82.34764862060547,-30.18566974957913,-128.23468017578125
-19.149999999999977,52.48722929421309,13.316909465135856,78.84684753417969,-28.40566974957913,-131.73548889160156
-21.069999999999965,52.48789953356122,13.316814674093074,84.3971176147461,-30.325669749579117,-126.18521881103516
-24.22999999999996,52.488554763044554,13.316706705715475,82.4163589477539,-33.48566974957912,-128.16598510742188
-25.629999999999967,52.48923798731644,13.316594605599244,80.65923309326172,-34.88566974957912,-129.923095703125
-29.18999999999997,52.489913393908836,13.316493023513205,83.35444641113281,-38.445669749579125,-127.22789001464844
-31.22999999999996,52.490594350893225,13.31638406546169,82.9377212524414,-40.48566974957912,-127.64461517333984
-33.349999999999966,52.49127317581544,13.316278009637994,83.7535629272461,-42.60566974957912,-126.82877349853516
-41.589999999999975,52.49195100164478,13.316173336996242,85.15965270996094,-50.84566974957913,-125.42268371582031
-36.74999999999997,52.49264506500586,13.316047063905813,77.44641876220703,-46.00566974957913,-133.13592529296875
